,i,j,distance,street
504,15257,1594,2.8774809215195742,Riverside Drive
505,14650,14649,4.356045395853648,West 72nd Street
506,5335,17592,7.0275005310035095,3rd Avenue
507,11886,15790,11.91148359487833,West 182nd Street
508,5498,3311,6.249780290151801,Broad Street
509,2626,15470,27.406845903437905,West 16th Street
510,383,22560,7.062718311940958,Broome Street
511,704,705,0.5517427673478603,unknown
512,15381,15382,3.697928826890467,West 57th Street
513,1509,16912,3.8839962061189537,Malcolm X Boulevard
514,12906,19789,5.280972362864186,Malcolm X Boulevard
515,10149,10150,1.5952352788281992,Lincoln Tunnel Expressway
516,6244,6245,0.8936442322197251,Laight Street
517,16613,16614,16.153703244699084,West 56th Street
518,9946,16215,22.874231284320967,East 51st Street
519,10391,14740,3.8302741588615685,11th Avenue
520,510,511,0.4764504283748307,unknown
521,3838,3837,7.70630204886062,East 83rd Street
522,3650,3651,0.21911846897824447,East 77th Street
523,8416,4316,16.555355617631303,Broadway
524,7857,7856,0.8166014490825291,97th Street Transverse
525,1173,3969,7.502832276399453,Nagle Avenue
526,7758,7759,20.339400475460636,East 20th Street
527,8070,8069,2.476836827386972,Clinton Street
528,15265,15266,2.515703288785587,Riverside Drive
529,17813,17812,1.3180850682661718,East 42nd Street
530,15378,15491,5.27794511994705,8th Avenue
531,4258,3580,8.56360691039188,3rd Avenue
532,12758,12759,4.600354011005221,Henry Hudson Parkway
533,14398,5758,1.175028873713687,East 32nd Street
534,2805,2806,0.7220203541208541,Riverside Drive
535,5543,5544,12.282131506111305,West 146th Street
536,20612,8641,5.5755238478961315,Delancey Street
537,18597,18598,0.6896274166128236,Park Row
538,4237,4238,13.405976204827155,West 189th Street
539,19671,4885,2.7318870443362764,Amsterdam Avenue
540,7740,7739,1.4674957875652217,Margaret Corbin Drive
541,12945,13501,3.6155545884659865,West 42nd Street
542,11805,11806,0.6621847249786604,unknown
543,10460,10433,6.951314557922737,unknown
544,2307,2308,0.3536583840426784,East 73rd Street
545,8257,15807,7.09354880650699,Broadway
546,17856,17857,1.59346432486437,Saint Nicholas Avenue
547,2996,2997,2.3618817089366013,Overlook Terrace
548,5633,9831,2.9690400100832206,Grand Street
549,18551,18552,0.3833887828008782,unknown
550,7690,7691,4.491473053668164,Henry Hudson Parkway
551,6303,6281,1.362821947273968,Watts Street
552,3678,4931,2.383484623138555,Doyers Street
553,18447,18448,1.2066507147657206,FDR Drive
554,19854,3762,16.63882257803415,West 164th Street
555,12099,12098,4.475666419347673,West End Avenue
556,21750,21749,1.0007317750523084,Paladino Avenue
557,1038,1039,7.6092240053223845,Delancey Street
558,450,10454,2.309061754293934,unknown
